,time,4T,5S,5W,4W,4S,direction
929,1681822576.5,0,0,0,0,0,0
930,1681822626.5,0,0,0,0,0,0
931,1681822676.5,0,0,0,0,0,0
932,1681822726.5,0,0,0,0,0,0
933,1681822776.5,0,0,0,0,0,0
934,1681822826.5,0,0,0,0,0,0
935,1681822876.5,0,0,0,0,0,0
936,1681822926.5,0,0,0,0,0,0
937,1681822976.5,0,0,0,0,0,0
938,1681823026.5,0,0,0,0,0,0
939,1681823076.5,0,0,0,0,0,0
940,1681823126.5,0,0,0,0,0,0
941,1681823176.5,0,0,0,0,0,0
942,1681823226.5,0,0,0,0,0,0
943,1681823276.5,0,0,0,0,0,0
944,1681823326.5,0,0,0,0,0,0
945,1681823376.5,0,0,0,0,0,0
946,1681823426.5,0,0,0,0,0,0
947,1681823476.5,0,0,0,0,0,0
948,1681823526.5,0,0,0,0,0,0
949,1681823576.5,0,0,0,0,0,0
950,1681823626.5,0,0,0,0,0,1
951,1681823676.5,0,0,0,0,0,1
952,1681823726.5,0,0,0,0,0,1
953,1681823776.5,0,0,0,0,0,1
954,1681823826.5,0,0,0,0,0,1
955,1681823876.5,0,0,0,0,0,1
956,1681823926.5,0,0,0,0,0,1
957,1681823976.5,0,0,0,0,0,1
958,1681824026.5,0,0,0,0,0,1
959,1681824076.5,0,0,0,0,0,1
960,1681824126.5,0,0,0,0,0,1
961,1681824176.5,0,0,0,0,0,1
962,1681824226.5,0,0,0,0,0,1
963,1681824276.5,0,0,0,0,0,1
964,1681824326.5,0,0,0,0,0,1
965,1681824376.5,0,0,0,0,0,1
966,1681824426.5,0,0,0,0,0,1
967,1681824476.5,0,0,0,0,0,1
968,1681824526.5,0,0,0,0,0,1
969,1681824576.5,0,0,0,0,0,1
970,1681824626.5,0,0,0,0,0,1
971,1681824676.5,0,0,0,0,0,1
972,1681824726.5,0,0,0,0,0,1
973,1681824776.5,0,0,0,0,0,1
974,1681824826.5,0,0,0,0,0,1
975,1681824876.5,0,0,0,0,0,1
976,1681824926.5,0,0,0,0,0,1
977,1681824976.5,0,0,0,0,0,1
978,1681825026.5,0,0,0,0,0,1
979,1681825076.5,0,0,0,0,0,1
980,1681825126.5,0,0,0,0,0,1
981,1681825176.5,0,0,0,0,0,1
982,1681825226.5,0,0,0,0,0,1
983,1681825276.5,0,0,0,0,0,1
984,1681825326.5,0,0,0,0,0,1
985,1681825376.5,0,0,0,0,0,1
986,1681825426.5,0,0,0,0,0,1
987,1681825476.5,0,0,0,0,0,1
988,1681825526.5,0,0,0,0,0,1
989,1681825576.5,0,0,0,0,0,1
990,1681825626.5,0,0,0,0,0,1
991,1681825676.5,0,0,0,0,0,1
992,1681825726.5,0,0,0,0,0,1
993,1681825776.5,0,0,0,0,0,1
994,1681825826.5,0,0,0,0,0,1
995,1681825876.5,0,0,0,0,0,1
996,1681825926.5,0,0,0,0,0,1
997,1681825976.5,0,0,0,0,0,1
998,1681826026.5,0,0,0,0,0,1
999,1681826076.5,0,0,0,0,0,1
1000,1681826126.5,0,0,0,0,0,0
1001,1681826176.5,0,0,0,0,0,0
1002,1681826226.5,0,0,0,0,0,0
1003,1681826276.5,0,0,0,0,0,0
